ID,Email Address,Name,Weight,Source City,Destination City,Parcel Type,Date
1,Henry_Wade6001@nimogy.biz,Henry,1.11,Lyon,Baltimore,1kg-R_Box,14-Apr-08
2,Bristol_Burge6429@bauros.biz,Bristol,7.38,Albuquerque,Wien,5kg-R_Box,5-Feb-12
3,Valentina_Hopkinson8714@irrepsy.com,Valentina,2.60,Lisbon,Honolulu,25kg-R_Box,16-Apr-14
4,Louise_Ralph8637@jiman.org,Louise,2.84,Paris,Berna,Envelope,15-Feb-16
5,Bart_Allwood7270@qater.org,Bart,1.26,Escondido,Lyon,25kg-R_Box,6-Jun-17
6,Henry_Edwards5206@infotech44.tech,Henry,2.40,Phoenix,Charlotte,Envelope,16-May-06
7,Harry_Tindall1423@naiker.biz,Harry,7.37,Baltimore,Phoenix,1kg-R_Box,31-Oct-17
8,Violet_Payne612@qater.org,Violet,7.88,Albuquerque,Bellevue,1kg-R_Box,31-Dec-16
9,Martin_Andrews8815@sheye.org,Martin,5.37,Philadelphia,Henderson,5kg-R_Box,3-Aug-05
10,Elena_Nicolas151@acrit.org,Elena,4.18,Omaha,Madison,1kg-R_Box,24-Dec-18
11,Nicholas_Mills178@grannar.com,Nicholas,1.19,Columbus,Sacramento,5kg-R_Box,10-Nov-05
12,Maia_Wigley6863@nickia.com,Maia,3.60,Worcester,Oakland,25kg-R_Box,31-Jan-15
13,Luke_Mills7809@brety.org,Luke,1.14,Seattle,Arlington,Envelope,12-Jun-07
14,Doug_Furnell3140@joiniaa.com,Doug,7.30,Albuquerque,Venice,25kg-R_Box,7-Jun-06
15,Chadwick_Crawford7534@zorer.org,Chadwick,6.95,Valetta,Omaha,Envelope,1-Jan-17
16,Ethan_Dixon1802@deons.tech,Ethan,6.93,St. Louis,Berlin,1kg-R_Box,5-Mar-10
17,Carmen_Potts8182@gembat.biz,Carmen,2.84,Ontario,Worcester,1kg-R_Box,15-Jan-07
18,Joy_Rossi5330@famism.biz,Joy,8.15,Atlanta,Chicago,5kg-R_Box,12-Jan-11
19,Aiden_Barrett1319@kideod.biz,Aiden,7.19,Bakersfield,Fayetteville,RedBox,16-Apr-17
20,Harry_London9132@nanoff.biz,Harry,1.97,Louisville,Milwaukee,25kg-R_Box,27-Jul-09
21,Aeris_Neal2836@womeona.net,Aeris,9.70,Moreno Valley,El Paso,Envelope,13-Feb-10
22,Alexander_Norburn7298@joiniaa.com,Alexander,6.48,New York,Richmond,25kg-R_Box,3-May-12
23,Jayden_Willis2812@deavo.com,Jayden,2.11,Fort Lauderdale,Seattle,Envelope,26-Feb-15
24,Isabel_Ainsworth6496@ovock.tech,Isabel,1.47,Valetta,Chicago,1kg-R_Box,12-Dec-18
25,Russel_Poulton399@gembat.biz,Russel,1.63,Madison,Ontario,1kg-R_Box,10-Nov-07
26,Manuel_Grey6325@iatim.tech,Manuel,7.38,Albuquerque,El Paso,1kg-R_Box,21-Jul-09
27,Johnny_Lyon8742@guentu.biz,Johnny,1.81,Venice,Hayward,5kg-R_Box,20-Nov-12
28,Domenic_Vass6500@zorer.org,Domenic,3.80,Houston,Salem,25kg-R_Box,22-Nov-06
29,Adalie_Wilcox8569@deons.tech,Adalie,6.65,Chicago,Washington,Envelope,22-Oct-13
30,Aiden_Bennett2003@vetan.org,Aiden,5.21,Santa Ana,Portland,25kg-R_Box,11-Jun-06
31,Sydney_Thompson1149@twipet.com,Sydney,1.18,Prague,Baltimore,Envelope,16-Mar-19
32,Celia_Johnson3079@acrit.org,Celia,1.28,Pittsburgh,Huntsville,1kg-R_Box,14-Feb-08
33,Margaret_Wallace5368@bretoux.com,Margaret,9.16,Milano,Bucharest,1kg-R_Box,12-Jul-07
34,Javier_Noon2094@dionrab.com,Javier,4.47,Arlington,Toledo,5kg-R_Box,2-Nov-15
35,Joseph_Rowan8280@grannar.com,Joseph,7.98,Miami,San Francisco,1kg-R_Box,16-Dec-08
36,Elijah_Everett5490@vetan.org,Elijah,4.82,San Bernardino,Rome,5kg-R_Box,24-Dec-07
37,Mark_Alcroft6658@yahoo.com,Mark,3.26,Portland,Las Vegas,25kg-R_Box,29-Aug-15
38,Eduardo_Chapman6067@fuliss.net,Eduardo,2.25,Miami,Saint Paul,Envelope,14-Dec-09
39,Christy_Todd7402@vetan.org,Christy,6.89,Sacramento,Berlin,25kg-R_Box,25-Sep-05
40,Fred_Curtis7380@fuliss.net,Fred,5.88,Los Angeles,Arlington,1kg-R_Box,4-Oct-11
41,Lucas_Owen52@gmail.com,Lucas,6.87,Santa Ana,Washington,5kg-R_Box,24-Oct-16
42,Chanelle_Lee709@twipet.com,Chanelle,4.00,Jacksonville,Paris,25kg-R_Box,16-Jun-08
43,Melody_Jones8290@guentu.biz,Melody,4.74,Minneapolis,Baltimore,Envelope,16-Jul-07
44,Hayden_Knight5185@tonsy.org,Hayden,4.51,Amarillo,Worcester,25kg-R_Box,9-Mar-18
45,Lucas_Purvis8103@liret.org,Lucas,9.19,Oklahoma City,Denver,Envelope,7-Oct-07
46,Ethan_Adams2176@womeona.net,Ethan,7.47,London,Orlando,1kg-R_Box,19-Jan-13
47,Nicole_Murphy9090@irrepsy.com,Nicole,6.60,San Jose,Henderson,1kg-R_Box,11-Aug-18
48,Bethany_Smith125@qater.org,Bethany,8.07,Tokyo,Madison,5kg-R_Box,23-Feb-07
49,Gabriel_Fields7248@vetan.org,Gabriel,8.07,Minneapolis,Philadelphia,1kg-R_Box,15-Dec-14
50,George_Roberts6838@ovock.tech,George,1.65,Omaha,Sacramento,5kg-R_Box,23-Oct-07
